date,total_pnl,trade_count,avg_pnl_per_trade,status
20240301,-7.958399715687278,3,-2.652799905229093,SUCCESS
20240304,-201.0275277147983,12,-16.752293976233194,SUCCESS
20240305,-22.354784284411398,10,-2.23547842844114,SUCCESS
20240306,-96.73831311777951,8,-12.092289139722439,SUCCESS
20240307,-115.4839623627919,10,-11.54839623627919,SUCCESS
20240308,-333.45159939207923,12,-27.78763328267327,SUCCESS
20240311,-0.8998483955255505,3,-0.2999494651751835,SUCCESS
20240312,-49.58319671807206,12,-4.131933059839338,SUCCESS
20240313,-68.80345375445914,11,-6.254859432223558,SUCCESS
20240314,-79.73542497426865,8,-9.966928121783582,SUCCESS
20240315,-35.80493918596747,6,-5.967489864327912,SUCCESS
20240318,-94.29994010146568,8,-11.78749251268321,SUCCESS
20240319,-1.8031869860279155,12,-0.15026558216899297,SUCCESS
20240320,-151.5870722709574,12,-12.632256022579783,SUCCESS
20240321,-90.64954033384556,9,-10.072171148205063,SUCCESS
20240322,-123.3912784144332,12,-10.2826065345361,SUCCESS
20240325,-73.45600369555191,12,-6.121333641295993,SUCCESS
20240326,-126.30160056683629,12,-10.52513338056969,SUCCESS
20240327,-1.8116327609014893,12,-0.15096939674179077,SUCCESS
20240328,-118.64503494159639,12,-9.887086245133032,SUCCESS
