date,total_pnl,trade_count,avg_pnl_per_trade,status
20240301,0.0,0,0,SUCCESS
20240304,0.0,0,0,SUCCESS
20240305,0.0,0,0,SUCCESS
20240306,0.0,0,0,SUCCESS
20240307,0.0,0,0,SUCCESS
20240308,0.0,0,0,SUCCESS
20240311,0.0,0,0,SUCCESS
20240312,0.0,0,0,SUCCESS
20240313,0.0,0,0,SUCCESS
20240314,0.0,0,0,SUCCESS
20240315,0.0,0,0,SUCCESS
20240318,0.0,0,0,SUCCESS
20240319,0.0,0,0,SUCCESS
20240320,0.0,0,0,SUCCESS
20240321,0.0,0,0,SUCCESS
20240322,0.0,0,0,SUCCESS
20240325,0.0,0,0,SUCCESS
20240326,0.0,0,0,SUCCESS
20240327,0.0,0,0,SUCCESS
20240328,0.0,0,0,SUCCESS
